MSWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
avg,5.80E-73,1.87E-47,46909.95355,54.27277453,28.0014685,0.02,0.002966269,-10995.1411,3.55E-17,3.71E-15,0.004137265,0.025011111,0.520706797,3.335025415,0.00063646,-1.031628451,0.397897184,8.4731387,-3.784337598,-3.232942735,-9.981798123,-9.945308858,-10.07601277
time,0.296953626,0.299173985,0.383272743,0.294234905,0.301114297,0.311070247,0.311863632,0.302749953,0.299933295,0.306641469,0.306780934,0.33247076,0.325610046,0.518232303,0.466090074,0.294392319,0.291041312,0.300613785,0.737490358,0.738622813,0.545901403,0.644155974,0.794433527
worst,1.49E-71,5.86E-46,96084.28674,89.88000172,28.77772499,1,0.024029584,-5854.971049,1.78E-15,7.55E-15,0.206863227,0.105430261,1.142541061,10.76318094,0.007464158,-1.031628425,0.397966708,31.63537058,-3.089762967,-2.990487001,-2.62431354,-1.834299084,-2.806452028
best,6.35E-85,5.23E-55,19052.42077,0.064873314,26.73766922,0,5.62E-06,-12568.9148,0,4.44E-16,0,0.008360447,0.150317634,0.998003838,0.000307882,-1.031628453,0.397887366,3.000000004,-3.862782059,-3.321926001,-10.15312713,-10.40235841,-10.53611003
std,2.32E-72,8.47E-47,16540.69001,25.28734419,0.50616465,0.14,0.004402304,1430.622058,2.49E-16,2.11E-15,0.028960852,0.018812328,0.253424323,3.309858105,0.000985688,5.44E-09,1.55E-05,10.94648146,0.231593739,0.113299043,1.051314736,1.745775003,1.671757872
