MSWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
avg,1.13E-96,4.10E-50,6.41E-72,1.63E-44,25.36602631,0,0.000361734,-12560.99556,0.00E+00,4.44E-16,0,0.049008821,0.016213593,5.381865506,0.000404759,-1.031628453,0.397887358,4.620003908,-3.862004046,-3.264484509,-7.298318523,-8.064222249,-7.832445224
time,0.490259151,0.495133376,0.626894612,0.495190725,0.500065813,0.516706553,0.514390445,0.507627139,0.499071927,0.507769289,0.507314334,0.548057942,0.538814731,0.792845178,0.712260623,0.467726965,0.462092352,0.478466496,1.108813672,1.108732696,0.826173592,0.965082297,1.162376146
worst,5.65E-95,2.04E-48,3.21E-70,8.12E-43,26.93956955,0,0.002723585,-12153.52514,0.00E+00,4.44E-16,0,0.124116985,0.163239231,12.67050581,0.000698418,-1.031628453,0.397887358,84.00000166,-3.854900617,-3.19738267,-5.05519772,-5.08767182,-5.12848077
best,2.45E-132,3.99E-64,1.59E-113,4.17E-62,24.66126489,0,1.13E-05,-12569.47424,0,4.44E-16,0,0.013955789,6.08E-05,0.998003838,0.000307516,-1.031628453,0.397887358,3,-3.862782148,-3.321995171,-10.15319968,-10.40294057,-10.53640981
std,7.91E-96,2.86E-49,4.49E-71,1.14E-43,0.416017382,0,0.000482513,58.21027923,0.00E+00,0.00E+00,0,0.026385578,0.036705731,4.365790721,0.000118051,1.86E-13,1.61E-12,11.33999968,0.00233512,0.059875981,2.530581548,2.638429955,2.703964439
