MSWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
avg,1.22E-74,2.72E-48,45385.02212,51.37525443,28.12539478,0.04,0.002400578,-10631.9387,3.55E-17,3.93E-15,0.002508952,0.025714574,0.53986778,3.215074672,0.000714959,-1.031628452,0.397896397,12.00228906,-3.787417565,-3.232892629,-10.13550519,-10.09866096,-10.0547989
time,0.371234565,0.373460312,0.470581379,0.368201799,0.37505856,0.385108452,0.389161506,0.380482469,0.377892704,0.382899675,0.382299175,0.412816381,0.409927278,0.638257256,0.587750921,0.374201093,0.369713402,0.379608312,0.907795434,0.905863686,0.691374531,0.813031235,0.998654685
worst,2.17E-73,6.45E-47,100078.8373,90.16297112,28.77406994,2,0.010190821,-7001.923985,1.78E-15,7.55E-15,0.125447615,0.07397341,1.097182001,10.76318377,0.006721156,-1.031628446,0.398017384,34.89848692,-3.089762494,-2.973768998,-10.06878659,-2.765399306,-1.858166194
best,2.42E-86,1.11E-52,16635.64826,0.004449136,27.05577746,0,1.49E-04,-12568.99223,0,4.44E-16,0,0.006431818,0.164567657,0.998003838,0.000307629,-1.031628453,0.397887358,3.000000011,-3.862782147,-3.321899472,-10.15286975,-10.40227386,-10.53609644
std,4.42E-74,9.74E-48,16568.67749,28.85571896,0.468042352,0.28,0.002530971,1711.458331,2.49E-16,2.41E-15,0.017562666,0.01357229,0.21179244,3.420375,0.000908771,1.78E-09,1.97E-05,13.1614787,0.209138219,0.109353594,0.019395618,1.402690741,1.753816632
