MSWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
23,271.9377111,3.545066481,104238.5274,73.96955849,117492.3967,280.28,0.274687991,-8060.607728,114.5036539,4.875030006,2.84502032,26885.36563,243331.4913,6.018450092,0.002301754,-1.022032226,0.413590607,13.5520479,-3.717597641,-2.886640799,-7.654044824,-7.193310848,-6.291410184
24,230.509061,3.026446974,104108.5916,73.8562214,107398.8203,239.16,0.264340637,-8121.867525,108.9968762,4.612063173,2.57453471,23233.7768,66441.25064,6.015499605,0.002136568,-1.026711828,0.412412367,13.54830957,-3.718045904,-2.90092439,-7.948407001,-7.279370078,-6.331252114
25,167.4514691,2.623405586,103587.8748,73.526573,63643.18239,200.18,0.237015619,-8186.326144,101.6428893,4.26981003,2.237205402,16515.16782,44509.02096,5.882222416,0.002051969,-1.026961985,0.41097524,13.54274478,-3.720079924,-2.912794794,-8.023681771,-7.420651095,-6.475157549
26,144.5589992,2.327522085,103216.7733,73.01458276,37240.17587,162.66,0.225867466,-8221.81751,96.98149479,3.919574475,2.019055604,12991.94125,34490.9082,5.786702925,0.001983187,-1.029071393,0.410311923,13.53451805,-3.72064233,-2.924073129,-8.116690401,-7.480454988,-6.623260411
27,119.5624376,2.072019438,102984.2511,72.63039396,33236.35704,141.78,0.206555373,-8261.78026,92.3032807,3.61735299,1.862480034,10880.92768,18307.5903,5.78106186,0.001933951,-1.030379775,0.409055878,13.50361012,-3.721684096,-2.932746607,-8.204702217,-7.58063433,-6.668590166
28,94.63228544,1.86353686,101934.0246,72.22506874,23190.99975,119.28,0.180158405,-8307.571725,84.67874398,3.334706263,1.701384179,7738.503307,11120.73875,5.779875348,0.001910236,-1.030686483,0.407742823,13.4962449,-3.722969589,-2.948006638,-8.259727309,-7.698389941,-6.802617555
29,80.58669861,1.632928795,100855.0746,71.59422503,17858.12117,103.24,0.16637337,-8347.643893,80.78107135,3.037855657,1.602543803,1493.196793,4670.989049,5.580815416,0.001875993,-1.030990595,0.406346117,13.47987389,-3.724024714,-2.964679452,-8.292193498,-7.812307735,-6.922937667
30,65.5280265,1.458065035,98776.9738,71.16519736,11846.89154,83.9,0.1459167,-8396.479923,77.73671536,2.707470751,1.514013235,1155.445603,1739.953889,5.436239206,0.001858265,-1.031334058,0.405586001,13.40483026,-3.725258354,-2.975950671,-8.328252899,-7.87992828,-6.993701924
31,50.08109291,1.294710105,98129.25844,71.10158432,8696.662696,69.66,0.140716514,-8411.598096,74.34020771,2.516046528,1.427423822,568.7267909,886.2301171,5.186241647,0.001840865,-1.031351655,0.404081361,13.39660298,-3.725569705,-2.983170022,-8.358398702,-7.999417076,-7.034422513
32,43.59676819,1.158598469,97706.98702,71.02889435,6999.7307,60.06,0.135487729,-8468.490861,72.59862877,2.31655078,1.335706594,306.5050338,471.6576645,5.162487528,0.00182338,-1.031366921,0.403025278,13.37536425,-3.726441259,-2.990228307,-8.450199872,-8.047214277,-7.195472315
33,34.83021636,1.085483392,97497.59214,70.97470531,5141.06041,46.5,0.130557642,-8528.169808,70.29332231,2.150074141,1.277936207,284.3543679,157.768812,5.099356033,0.001773872,-1.031409716,0.402810174,13.33583379,-3.726951368,-2.996112766,-8.51155337,-8.116194594,-7.293720867
34,27.79708425,1.025349562,97228.10406,70.95179034,2884.675744,41.48,0.117645636,-8625.603766,69.05392232,1.905516165,1.198102022,257.3485889,82.44096458,4.990398102,0.001759138,-1.031430527,0.402509397,13.30361183,-3.727605328,-3.006134133,-8.670159525,-8.133460195,-7.322348531
35,24.20152671,0.898542886,97096.28434,70.92715349,2109.663897,35.74,0.113740938,-8659.021406,65.72187234,1.71830002,1.142717835,234.5218459,56.40146662,4.976493923,0.001738961,-1.031444944,0.40202301,13.29533133,-3.727831032,-3.012994491,-8.710008882,-8.200562766,-7.371730874
36,19.98621501,0.804945453,96845.93057,70.90665318,1630.221356,30.64,0.113605953,-8697.517961,62.71613422,1.556794559,1.101939012,183.5900858,49.96801934,4.954979734,0.001717425,-1.031450222,0.401723131,13.28414666,-3.729442597,-3.018265391,-8.789500228,-8.253893031,-7.424534787
37,17.34660459,0.748092905,96779.30112,70.9029116,1204.441923,26.7,0.109452535,-8731.549141,58.60026124,1.417721135,1.058966759,172.9469976,39.2435239,4.954513955,0.001634094,-1.031500985,0.401514946,13.27354258,-3.729853938,-3.025726356,-8.844677095,-8.365248451,-7.459850859
38,15.0279923,0.668672744,96680.59741,70.79530039,1040.348732,23.54,0.106839461,-8760.053707,56.05438445,1.286518277,1.026723849,171.2051164,25.91127558,4.83209883,0.001601979,-1.031545079,0.401349578,13.21203075,-3.730195751,-3.0293628,-8.908446094,-8.383578112,-7.500208551
39,13.56871058,0.626008946,96675.25462,70.7394965,883.2752623,19.74,0.105604716,-8780.957597,52.95210175,1.143681454,1.011545145,80.06989589,22.38371836,4.831873029,0.001551224,-1.031558698,0.401200165,13.18529738,-3.732748931,-3.033453292,-8.93260231,-8.435173129,-7.530787394
40,11.50668202,0.576742914,96141.52503,70.59545524,750.5754477,17.1,0.103763844,-8793.551011,50.25660346,1.062626208,0.989838811,6.584785034,18.79731352,4.829427807,0.001423088,-1.0315671,0.401117544,13.1568688,-3.734278776,-3.039614856,-8.953098846,-8.50953964,-7.583658807
41,9.070093695,0.52122455,96080.46474,70.53908804,627.3772858,15.16,0.100204462,-8819.876502,47.09106343,0.95550281,0.94494268,5.544462693,15.18233182,4.803971496,0.001296835,-1.031570966,0.400876116,13.08471499,-3.734956914,-3.043027588,-8.961925318,-8.63697911,-7.616087872
42,7.78568373,0.475796607,95894.82877,70.48952327,506.2764309,13.18,0.100053317,-8856.410765,43.82880353,0.863880325,0.924669335,4.77037765,11.00034535,4.793638087,0.001244888,-1.031571719,0.400832855,12.97298278,-3.736253981,-3.046682353,-8.996022104,-8.744501347,-7.637020467
43,6.090086953,0.433869276,95413.07265,70.42950326,429.9996414,12.38,0.093117575,-8875.551716,42.00700361,0.774931051,0.903129131,4.339920783,9.369105074,4.690611961,0.001202824,-1.031573877,0.400743011,12.75330067,-3.738950961,-3.054996702,-9.028708363,-8.797561755,-7.671392036
44,5.283781395,0.387388931,95395.7043,70.38019949,370.4060877,11.38,0.08708131,-8903.548269,39.62683397,0.704914935,0.882841878,3.99446354,8.824813669,4.690303176,0.001164181,-1.031575651,0.400520103,12.58151641,-3.740523281,-3.058450431,-9.065579593,-8.845194707,-7.693175279
45,4.213885601,0.349656102,95233.96735,70.15136045,325.8340195,10.44,0.084969038,-8927.200896,37.16691249,0.659999901,0.858019011,3.691894701,8.182745527,4.687773481,0.001133128,-1.03158175,0.400416559,12.51363485,-3.7408258,-3.063852975,-9.102154433,-8.879635962,-7.768144935
46,3.239535674,0.314339906,95178.41805,69.69801053,262.1404888,10.04,0.081379022,-8952.035217,35.15970924,0.578602328,0.833234032,3.393541091,7.762807946,4.686158322,0.001095108,-1.031585648,0.400317282,12.38383317,-3.740993299,-3.068910701,-9.150129097,-8.950908583,-7.788646992
47,2.608047487,0.29588718,95091.76457,69.19808422,213.4150207,9.34,0.079126642,-8975.012217,33.40064663,0.533142637,0.811954941,2.984935575,7.16141584,4.61525623,0.001076546,-1.031590382,0.400157847,12.35319229,-3.741357983,-3.073879366,-9.195135282,-8.988220948,-7.800388888
48,2.161175771,0.271964948,94938.17926,69.15813965,189.9096652,8.64,0.078382332,-8994.962565,30.37555763,0.486088795,0.794529538,2.606195091,6.661173239,4.614657784,0.001010617,-1.031590809,0.400003527,12.3466296,-3.741491314,-3.079966973,-9.201916673,-8.999503704,-7.848180575
49,1.853055757,0.237447606,94696.14233,68.96434982,173.2604183,8.12,0.075775317,-9015.588612,29.53361574,0.449238499,0.776001404,2.369312783,6.109692814,4.596504403,0.000978441,-1.031595734,0.399913183,12.3385093,-3.742143654,-3.085155794,-9.217364323,-9.016706685,-7.854007474
50,1.451146696,0.223196808,94519.26582,68.78918984,155.7762176,7.76,0.072692283,-9026.190159,26.24177114,0.405194527,0.759514231,2.083088663,5.357531489,4.596385737,0.000968046,-1.031600284,0.399845371,12.33444702,-3.742629287,-3.0882961,-9.227967377,-9.042307686,-7.861617002
51,1.191348953,0.209881332,94417.06137,68.67927609,139.7512999,7.44,0.071723893,-9041.615509,25.59397208,0.360955439,0.735271283,1.89091912,4.663392338,4.589905995,0.000961073,-1.031601563,0.399656302,12.32583155,-3.744188499,-3.090688706,-9.240288948,-9.0581491,-7.887467778
52,1.031892663,0.195570603,94255.48413,68.54196004,132.2372304,7.02,0.06976298,-9050.049018,24.87700083,0.33107381,0.700884093,1.810981408,4.176983507,4.589814847,0.000949633,-1.031603883,0.39958269,12.32188123,-3.744803496,-3.095020627,-9.27883498,-9.132821712,-7.90425705
53,0.792926586,0.174012941,93711.19062,68.36878822,126.2814606,6.8,0.068770229,-9125.961397,24.51272871,0.29267037,0.665430442,1.616463507,3.604955049,4.586519742,0.000936145,-1.031604517,0.39937841,12.31573969,-3.745275578,-3.100958448,-9.284484024,-9.154242602,-7.916401111
54,0.683777407,0.149037322,93551.15214,68.32096614,110.4781896,6.28,0.063006133,-9146.860516,24.01922415,0.267772506,0.644511645,1.456257436,3.127338095,4.586338711,0.000926064,-1.031604668,0.39923169,12.31118199,-3.745727624,-3.105244983,-9.302138649,-9.16874879,-7.938269055
55,0.557384297,0.129635103,93405.56215,68.28448886,102.480923,6.06,0.061899539,-9186.373506,23.42175348,0.249156262,0.606275612,1.422460518,2.776674526,4.371159872,0.00092127,-1.031606434,0.399191995,12.30953006,-3.746423239,-3.114148945,-9.335201778,-9.183763017,-7.960740964
56,0.514763856,0.11580886,93341.23626,68.21190819,84.03725184,5.6,0.060496559,-9203.215746,22.77668718,0.226023045,0.570515767,1.354533298,2.591916747,4.371089727,0.000910804,-1.031606931,0.39912906,12.30797752,-3.746707711,-3.120005024,-9.364263427,-9.233869645,-7.989746084
57,0.451784173,0.110140509,93316.99738,68.13892292,73.32717541,5.36,0.058740936,-9216.61762,22.36577884,0.191652003,0.542442032,1.247582243,2.377127855,4.353881572,0.000896422,-1.031607971,0.399094002,12.30502013,-3.747105189,-3.126339069,-9.397519741,-9.270755168,-8.016763959
58,0.41941808,0.10219488,93072.11112,68.12829524,66.04630414,5.04,0.056835591,-9249.554211,22.12074484,0.177808768,0.517723008,1.171151406,2.078120592,4.353880531,0.000886804,-1.031609889,0.39905395,12.30353429,-3.747364088,-3.13030957,-9.416533152,-9.289849253,-8.050984383
59,0.386914989,0.094328803,92793.72634,67.62047157,60.92530271,4.7,0.056275368,-9277.073777,21.73427056,0.15722608,0.505027516,0.947713629,1.778576388,4.350286318,0.000877656,-1.031610852,0.39903836,12.30093745,-3.747490337,-3.132898316,-9.466082531,-9.309839616,-8.065475381
60,0.356852025,0.081723585,92700.95981,67.5525649,57.49895865,4.26,0.053447827,-9303.025118,21.37738385,0.150201557,0.477239309,0.887056757,1.728220994,4.349812978,0.000872315,-1.031611792,0.398985716,12.29699455,-3.747622823,-3.136096518,-9.479315563,-9.32302291,-8.084061594
61,0.317555913,0.076439118,92639.95771,67.4935121,51.34470446,3.86,0.052134457,-9318.43388,21.15732721,0.137243339,0.458153757,0.824642426,1.677068834,4.349799174,0.000865873,-1.031612303,0.398943125,12.29563055,-3.747834519,-3.139603632,-9.556896119,-9.326515958,-8.103683931
62,0.270510325,0.06932353,91881.47507,67.3900676,43.29505782,3.64,0.052134457,-9332.247278,21.01791854,0.119118221,0.427475232,0.776508192,1.616299247,4.349724744,0.000857785,-1.031612356,0.398891624,12.29182018,-3.748303891,-3.141636343,-9.604689946,-9.337567483,-8.162146655
63,0.248541038,0.063952167,91682.56044,67.37048306,40.92211217,3.56,0.05118225,-9344.37554,20.9245862,0.110613985,0.404949471,0.652449808,1.581953592,4.349703381,0.000848219,-1.031612915,0.398792754,12.28472732,-3.74847457,-3.145128467,-9.619489422,-9.387880728,-8.216325921
64,0.218630993,0.058814361,91542.25774,67.3693648,39.77503704,3.48,0.049601646,-9354.95915,20.79978805,0.098757009,0.390596248,0.59382459,1.468326152,4.349669898,0.000834371,-1.031613131,0.398697256,12.28090087,-3.748644335,-3.147240355,-9.629095333,-9.411657659,-8.225395378
65,0.193703788,0.054654934,90773.92193,67.35980823,38.89418572,3.24,0.048756294,-9370.425409,20.59881281,0.092355955,0.364765851,0.562859595,1.361746563,4.254712518,0.000829742,-1.031613288,0.398584343,12.28012236,-3.749023316,-3.148773238,-9.651037353,-9.490470995,-8.263117757
66,0.167020516,0.048062216,90666.33946,67.34632689,37.10988373,2.8,0.04662885,-9379.010112,19.03012645,0.08311656,0.344767965,0.531094186,1.327342561,4.254195252,0.000826985,-1.031613334,0.398443499,12.27311566,-3.749169221,-3.149811556,-9.664799957,-9.502199567,-8.277646025
67,0.136842308,0.043050158,90610.82802,67.31437797,35.5371326,2.58,0.046271416,-9389.471033,18.78013489,0.074976801,0.317918208,0.465785323,1.233367118,4.177400748,0.00082564,-1.031613824,0.398401837,12.27265752,-3.749350272,-3.151749749,-9.676206603,-9.506991184,-8.292499387
68,0.119132313,0.038733348,90456.48059,67.26234352,34.75327036,2.48,0.045814781,-9397.066562,18.73654115,0.070500979,0.293838336,0.380594756,1.189186544,4.140022903,0.000819197,-1.031614139,0.398379312,12.27217178,-3.749550479,-3.154625985,-9.683325655,-9.526933921,-8.413383617
69,0.109155983,0.035763106,89913.95201,67.17538484,33.97943191,2.3,0.042071135,-9410.382275,18.25439337,0.063457902,0.277885633,0.353370466,1.133366632,4.117455436,0.000814644,-1.031614708,0.398376732,12.26938064,-3.750171782,-3.158854365,-9.69103591,-9.536160668,-8.521633019
70,0.098915114,0.033747868,89868.80688,66.9685035,33.52552002,2.16,0.041842201,-9422.448546,18.10185218,0.059242783,0.261873496,0.27780832,1.041819939,4.115196521,0.000807929,-1.031614814,0.398353277,12.26337324,-3.750523487,-3.161188951,-9.697809638,-9.540133751,-8.533463614
71,0.08796939,0.031083986,89761.80918,66.8974318,33.00820705,1.98,0.039598449,-9440.058856,17.97571439,0.055066618,0.253370124,0.252308755,1.018175072,4.115152216,0.000802567,-1.031615061,0.398350437,12.26278405,-3.750743758,-3.162755097,-9.71873042,-9.547026945,-8.546665022
72,0.068710905,0.028589749,89728.47626,66.86031813,32.32770474,1.94,0.039299803,-9447.539588,17.68270824,0.051867922,0.243719125,0.223758856,0.991458485,4.115130004,0.000796137,-1.031615308,0.398337901,12.26060335,-3.7508503,-3.163614522,-9.773407784,-9.574005954,-8.566482228
73,0.054861916,0.02570147,89618.59328,66.81694109,31.92364554,1.66,0.03877811,-9461.242935,17.56379761,0.048742792,0.231298313,0.216015374,0.966573313,3.836747746,0.000793667,-1.031616563,0.398327643,12.25784625,-3.751043849,-3.164015048,-9.78952568,-9.587687784,-8.572956654
74,0.046543552,0.024052943,89434.63208,66.72220821,31.72882592,1.58,0.038256629,-9466.616751,17.2871784,0.045438964,0.213281493,0.200680102,0.946026197,3.836721697,0.000791452,-1.031616651,0.398326265,12.25334914,-3.751096347,-3.165189222,-9.79208862,-9.594387981,-8.589489676
75,0.040815906,0.021196937,88968.71238,66.4642076,31.58448741,1.38,0.037280279,-9471.5501,17.14461659,0.041709841,0.200840889,0.181061265,0.923536511,3.836707598,0.000790072,-1.031617531,0.398325881,12.24757122,-3.751238887,-3.167168139,-9.799368261,-9.601798067,-8.598755585
76,0.036750541,0.018610643,88920.87076,66.26101826,31.3087869,1.36,0.037117609,-9485.942243,17.04420689,0.038100833,0.197276905,0.173843501,0.903087476,3.836492439,0.000786968,-1.031617646,0.398319331,12.24517871,-3.75131176,-3.169290431,-9.801731904,-9.612045311,-8.606757912
77,0.032052047,0.017559065,87629.86315,66.0108276,31.13911191,1.32,0.036654724,-9531.334943,16.06861755,0.035165208,0.189433516,0.164962633,0.894245214,3.828123302,0.000786578,-1.03161993,0.398316203,12.24461556,-3.751486858,-3.170746163,-9.811013885,-9.6220582,-8.629114425
78,0.027092068,0.015879281,87587.463,65.94422809,30.93521764,1.24,0.036078608,-9559.008324,15.74712553,0.031790687,0.178245736,0.157001173,0.883942242,3.826700804,0.000785675,-1.031620081,0.3983102,12.24291059,-3.751564376,-3.171422532,-9.814287426,-9.627457016,-8.631643211
79,0.023674734,0.014693766,87366.59677,65.76195074,30.63672831,1.24,0.032423496,-9569.952809,15.4363917,0.030136605,0.167635046,0.149961993,0.870186596,3.825075816,0.000784057,-1.031620177,0.398303796,12.23955586,-3.751683996,-3.173613281,-9.815592647,-9.629479068,-8.667501877
80,0.021796177,0.013996596,87243.36411,65.66303079,30.48583923,1.24,0.031800463,-9579.837925,15.29617868,0.028515986,0.160842202,0.146151449,0.859609288,3.825075658,0.000782383,-1.031620507,0.39826859,12.23707264,-3.751848196,-3.174559486,-9.820317155,-9.638836565,-8.687125034
81,0.019945563,0.012864353,87160.87606,65.63961133,30.39554751,1.18,0.031292656,-9586.577529,14.97936656,0.026256779,0.151834734,0.141513234,0.851515473,3.815115969,0.000781198,-1.031622381,0.3982062,12.2326901,-3.751917355,-3.176275932,-9.828833066,-9.642257511,-8.818744762
82,0.018519673,0.01209217,87066.49014,65.59336293,30.1401918,1.14,0.029661943,-9594.741917,14.12353857,0.024697396,0.148612964,0.138650556,0.841435257,3.809073774,0.00078063,-1.031622704,0.398147765,12.23101147,-3.75199173,-3.177181629,-9.83392279,-9.646845793,-8.828540525
83,0.016672911,0.010585532,86748.21057,65.57822553,30.02974782,1.1,0.029567661,-9599.552284,13.33992397,0.023712518,0.139892332,0.131226845,0.837233955,3.802120102,0.000778963,-1.031623161,0.398101402,12.22532505,-3.752190526,-3.1786043,-9.838635721,-9.655266831,-8.843964252
84,0.013523623,0.009141657,86625.02705,65.57384831,29.71436496,1.04,0.029244362,-9634.890996,13.21204413,0.021323617,0.13360585,0.12898057,0.829945764,3.697053428,0.00077852,-1.031623288,0.398079973,12.22355775,-3.753079767,-3.181135803,-9.840404078,-9.703684959,-8.855912096
85,0.012244782,0.008288055,86564.31397,65.56203149,29.56909711,1.02,0.028297515,-9653.820866,13.12931034,0.019422222,0.131044583,0.124370114,0.822500605,3.69264402,0.000777603,-1.031623293,0.398066036,12.21903666,-3.753608353,-3.183016945,-9.887637062,-9.738870795,-8.869002711
86,0.011406328,0.007395034,86427.86161,65.54244388,29.50250437,1,0.027879245,-9666.912008,13.01218733,0.018517409,0.119660864,0.121305366,0.8172425,3.692615909,0.000777105,-1.03162354,0.398062623,12.21159291,-3.753866956,-3.18478941,-9.93318183,-9.771023019,-8.872849395
87,0.010493498,0.006810184,85789.44703,65.4828916,29.41734171,0.96,0.027453746,-9682.525128,12.78952299,0.017088171,0.117531085,0.117011732,0.808817611,3.690771514,0.000776099,-1.031623605,0.398053331,12.20832994,-3.754148239,-3.186330648,-9.94523257,-9.779810369,-8.880691566
88,0.009540031,0.0062904,84505.21256,65.45465381,29.37336859,0.94,0.026872595,-9703.68567,12.74333952,0.016116812,0.111175954,0.115285467,0.799971918,3.674070216,0.000775792,-1.031623613,0.398051756,12.19376329,-3.754285064,-3.187297968,-9.959255997,-9.785324831,-8.885120437
89,0.008504663,0.005805369,84339.93702,65.44891559,29.2319555,0.9,0.026332539,-9731.136582,12.59880819,0.0154493,0.108058686,0.110788136,0.795699388,3.651571614,0.000773344,-1.03162387,0.398040739,12.19286593,-3.754608424,-3.18826851,-9.969128745,-9.787522717,-8.890131104
90,0.007323134,0.005456467,84065.22505,65.30053676,29.20503488,0.82,0.025466004,-9781.174613,12.55529758,0.01407734,0.10244842,0.108619825,0.790590992,3.605713101,0.000773104,-1.03162398,0.398038743,12.18857253,-3.754979933,-3.190020987,-9.972673459,-9.797712401,-8.895689309
91,0.006201471,0.005026746,83993.15847,65.25923868,29.11803623,0.72,0.025391026,-9817.078041,12.48337613,0.01288878,0.100436082,0.106330407,0.787819882,3.605711637,0.000770822,-1.031624228,0.398035797,12.18684976,-3.755240312,-3.190855471,-9.977315854,-9.800709538,-8.902865388
92,0.005495088,0.004774368,83806.03382,65.09803038,29.10128522,0.6,0.025107571,-9823.971413,12.34250278,0.012193954,0.097097045,0.104069588,0.78272306,3.60536175,0.000763622,-1.031624492,0.39803172,12.18343845,-3.755548782,-3.191547543,-9.978458817,-9.805406469,-8.912578147
93,0.004361055,0.004589957,83744.86438,64.97607606,29.0692616,0.6,0.024744952,-9829.997801,12.32277096,0.011619073,0.093520203,0.101830493,0.775978692,3.605304212,0.000763032,-1.031624625,0.398016309,12.18266899,-3.755627078,-3.192179893,-9.979493851,-9.809959493,-8.927720274
94,0.00382352,0.004079909,83526.04598,64.92427336,29.05309723,0.58,0.024744952,-9837.236603,12.30599152,0.010828558,0.090827006,0.098025038,0.773763743,3.601423103,0.000760715,-1.031624676,0.398015261,12.18093008,-3.756021078,-3.192583281,-9.982625245,-9.811879494,-8.931218683
