,Sphere,Rastrigin,Ackley,Griewank,Schwefel P2.22,Rosenbrock,Sehwwefel P2.21,Quartic,Schwefel P1.2,Penalized 1,Penalized 2,Schwefel P2.26,Step,Kowalik,Shekel Foxholes,Goldstein-Price,Shekel 5,Branin,Hartmann 3,Shekel 7,Shekel 10,Six-Hump Camel-Back,Hartmann 6,Zakharov,Sum Squares,Alpine,Michalewicz,Exponential,Schaffer,Bent Cigar,Bohachevsky 1,Elliptic,Drop Wave,Cosine Mixture,Ellipsoidal,Levy and Montalvo 1
avg,3.6305484445672675e-135,0.0,4.440892098500626e-16,0.0,3.5125309365363158e-74,5.705065294867712,1.307950424459911e-61,0.00013197603050062084,1.704823334627049e-90,0.007229329167641539,0.013182652658545495,-12569.46002733793,0.0,0.0005114990144824286,3.0576746734058116,11.455764360183087,-10.028214475260697,0.3979002316745251,-3.8442263810891975,-10.298830987872568,-10.07821868507104,-1.0316284523376755,-3.1219985329149478,2.243518945766303e-79,2.369259848181349e-141,9.462110390618853e-75,-1.801303014456795,-1.0,0.002455858171497163,3.769704416000334e-128,0.0,4.2814096376852363e-141,-1.0,-3.0,1055.1452766280888,0.001959236873530599
std,2.538925236059183e-134,0.0,0.0,0.0,1.7032501610249756e-73,10.981243239551194,5.043214494240102e-61,0.00011952272244325135,1.1800907151107977e-89,0.006036686575547905,0.017248864306869675,0.03551295343733297,0.0,0.00021613520858384183,3.3763713261077055,12.932215951262709,0.2122666982965479,3.452564300399385e-05,0.047712867413549506,0.12488366715711481,0.08785800027907308,2.7647207869012627e-09,0.1336295688966145,1.5689836452790975e-78,1.2439124551910425e-140,3.961940193271401e-74,5.158019049356723e-07,0.0,2.0971980698246467e-15,2.6387769149343106e-127,0.0,1.584258638955341e-140,0.0,0.0,232.04772276883912,0.00256139916373039
worst,1.8135524255384426e-133,0.0,4.440892098500626e-16,0.0,1.1385261228948288e-72,28.710617267778055,2.853020572033639e-60,0.0005623730704770672,8.430609454469178e-89,0.025215654948909306,0.0642119318711854,-12569.299966854636,0.0,0.001111776994515587,12.670505811135579,34.197815469685644,-8.906563674124278,0.3980804166971197,-3.6181963111690556,-9.965932173961802,-9.72532811770437,-1.0316284389456556,-2.6191092187672904,1.1207234313234365e-77,8.634595325903729e-140,2.3481341305423203e-73,-1.8013013694662399,-1.0,0.002455858171510672,1.8848408846010575e-126,0.0,8.084920991756546e-140,-1.0,-3.0,1588.4915896293294,0.01207682784811889
best,1.853678470525963e-170,0.0,4.440892098500626e-16,0.0,1.3875441388169516e-84,0.002327389285812906,4.51649993876859e-72,3.346373088281229e-06,2.91368001604964e-122,6.277488380774878e-05,4.516771047070015e-06,-12569.48660238541,0.0,0.0003089183442706851,0.9980038378090852,3.0000000048743973,-10.153164132213915,0.3978873577297417,-3.8627708710662856,-10.402743239673399,-10.153035318678029,-1.0316284534896587,-3.3122648693081507,1.07265019674018e-109,4.452931271964478e-165,1.3553385117386072e-88,-1.8013034077114938,-1.0,0.0024558581714964056,6.29002419380836e-159,0.0,9.143039714098894e-163,-1.0,-3.0,582.3749016103932,4.990953247111923e-06
ideal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12569.486618173014,0.0,0.0003074861,0.9980038377944493,3.0,-10.1532,0.39788735772973816,-3.86278214782076,-10.1532,-10.1532,-1.031628453489877,-3.32236801141551,0.0,0.0,0.0,-1.8013034100985532,-1.0,0.0,0.0,0.0,0.0,-1.0,-3.0,0.0,0.0
time,0.34557854175567626,0.3456664371490479,0.35336416244506835,0.3524617099761963,0.3485769033432007,0.3510647916793823,0.34574070930480955,0.3612382125854492,0.3489209508895874,0.38432797908782956,0.37782140254974367,0.3504461717605591,0.3465933609008789,0.4963739967346191,0.5339887857437133,0.3341141510009766,0.3556483697891235,0.3292229747772217,0.3584048986434937,0.3656297492980957,0.35584722995758056,0.3289471960067749,0.3573084545135498,0.35747365474700926,0.3490545701980591,0.3490943050384521,0.3316662073135376,0.3450570344924927,0.3270693206787109,0.34917661666870115,0.32613789081573485,0.3521475839614868,0.32611037731170656,0.3498601579666138,0.34893102645874025,0.3650556993484497
